,instance,grpsize1,grpsize2,constraints,variables,equivalent vars,#oribits(%),CPU time(s),status,objectve,tags,submitter,group
0,markshare_4_0,0,1,8,34,0,0.0,0,easy,1,benchmark benchmark_suitable integer_knapsack general_linear,"G. Cornuéjols, M. Dawande",markshare
1,markshare2,0,1,14,74,0,0.0,0,hard,1,benchmark benchmark_suitable integer_knapsack general_linear,"G. Cornuéjols, M. Dawande",markshare
2,gen-ip054,0,1,27,30,0,0.0,0,easy,6840.96564179,benchmark benchmark_suitable variable_bound general_linear,Simon Bowly,generated
3,pk1,0,1,60,86,0,0.0,0,easy,11,benchmark benchmark_suitable precedence mixed_binary,MIPLIB submission pool,--
4,gen-ip002,0,1,24,41,0,0.0,0,easy,-4783.733392,benchmark benchmark_suitable general_linear,Simon Bowly,generated
5,timtab1,0,2,342,397,2,0.5037783375314862,0,easy,764771.99999978,benchmark benchmark_suitable aggregations mixed_binary general_linear,"C. Liebchen, R. Möhring",timtab
6,enlight_hard,0,1,200,200,0,0.0,0,easy,37,benchmark benchmark_suitable equation_knapsack general_linear,A. Zymolka,enlight
7,neos-3046615-murg,72,241,738,274,0,0.0,0,easy,1600,benchmark benchmark_suitable aggregations variable_bound mixed_binary general_linear,Jeff Linderoth,neos-pseudoapplication-90
8,mas76,0,3,12,151,4,2.6490066225165565,0,easy,40005.05398999999,benchmark benchmark_suitable invariant_knapsack mixed_binary,MIPLIB submission pool,--
9,mas74,0,3,13,151,4,2.6490066225165565,0,easy,11801.18572,benchmark benchmark_suitable invariant_knapsack mixed_binary,MIPLIB submission pool,--
10,neos-3754480-nidda,0,1,402,253,0,0.0,0,hard,12941.73838561778,benchmark benchmark_suitable precedence variable_bound knapsack mixed_binary,Jeff Linderoth,neos-pseudoapplication-107
11,neos-2657525-crna,1,5,596,524,0,0.0,0,easy,1.810748,benchmark decomposition benchmark_suitable aggregations precedence variable_bound set_partitioning integer_knapsack general_linear,Jeff Linderoth,neos-pseudoapplication-7
12,neos5,0,3,63,63,48,76.19047619047619,0,easy,15,benchmark benchmark_suitable mixed_binary,NEOS Server Submission,neos-pseudoapplication-21
13,sp150x300d,17,55,600,600,244,40.666666666666664,0,easy,69,benchmark decomposition benchmark_suitable aggregations variable_bound mixed_binary,MIPLIB submission pool,sp_product
14,neos859080,4,9,207,160,160,100.0,0,easy,Infeasible,benchmark infeasible benchmark_suitable variable_bound general_linear,NEOS Server Submission,neos-pseudoapplication-96
15,glass4,0,2,432,322,2,0.6211180124223602,0,easy,1200012599.972384,benchmark benchmark_suitable precedence set_partitioning mixed_binary,I. Luzzi,--
16,fhnw-binpack4-4,0,1,620,520,0,0.0,0,hard,Infeasible,benchmark infeasible feasibility benchmark_suitable precedence variable_bound invariant_knapsack mixed_binary,Simon Felix,binpack
17,assign1-5-8,4,12,192,156,134,85.8974358974359,0,easy,211.999999999998,benchmark benchmark_suitable set_partitioning cardinality mixed_binary,Robert Fourer,assign1
18,neos-911970,7,18,142,888,888,100.0,0,easy,54.76,benchmark benchmark_suitable set_partitioning set_covering mixed_binary,NEOS Server Submission,neos-pseudoapplication-70
19,supportcase26,0,1,870,436,0,0.0,0,easy,1745.123813,benchmark benchmark_suitable precedence mixed_binary,Michael Winkler,--
20,tr12-30,0,1,1110,1080,0,0.0,0,easy,130595.9999999999,benchmark decomposition benchmark_suitable aggregations variable_bound mixed_binary,MIPLIB submission pool,--
21,mad,0,1,81,220,0,0.0,0,easy,0.0268,benchmark benchmark_suitable set_partitioning set_packing invariant_knapsack mixed_binary,Koichi Fujii,--
22,neos-3381206-awhea,1066,475,483,2375,2375,100.0,0,easy,453,benchmark decomposition benchmark_suitable integer_knapsack general_linear,Jeff Linderoth,neos-pseudoapplication-105
23,ic97_potential,0,1,1046,728,0,0.0,0,easy,3941.99993090225,benchmark benchmark_suitable precedence mixed_binary general_linear,L. Peeters,--
