equivalent variables
[326]
"[327, 338]"
[339]
"[340, 364]"
"[341, 365]"
"[342, 366]"
"[343, 367]"
"[344, 368]"
"[345, 369]"
"[346, 370]"
"[347, 371]"
"[348, 372]"
"[349, 373]"
"[350, 374]"
"[351, 375]"
"[352, 376]"
"[353, 377]"
"[354, 378]"
"[355, 379]"
"[356, 380]"
"[357, 381]"
"[358, 382]"
"[359, 383]"
"[360, 384]"
"[361, 385]"
"[362, 386]"
"[363, 387]"
[388]
"[389, 390]"
[391]
[0]
"[1, 14]"
"[2, 28]"
"[3, 42]"
"[4, 56]"
"[5, 70]"
"[6, 84]"
"[7, 98]"
"[8, 112]"
"[9, 126]"
"[10, 140]"
"[11, 154]"
"[12, 168]"
"[13, 182]"
[15]
"[16, 29]"
"[17, 43]"
"[18, 57]"
"[19, 71]"
"[20, 85]"
"[21, 99]"
"[22, 113]"
"[23, 127]"
"[24, 141]"
"[25, 155]"
"[26, 169]"
"[27, 183]"
[30]
"[31, 44]"
"[32, 58]"
"[33, 72]"
"[34, 86]"
"[35, 100]"
"[36, 114]"
"[37, 128]"
"[38, 142]"
"[39, 156]"
"[40, 170]"
"[41, 184]"
[45]
"[46, 59]"
"[47, 73]"
"[48, 87]"
"[49, 101]"
"[50, 115]"
"[51, 129]"
"[52, 143]"
"[53, 157]"
"[54, 171]"
"[55, 185]"
[60]
"[61, 74]"
"[62, 88]"
"[63, 102]"
"[64, 116]"
"[65, 130]"
"[66, 144]"
"[67, 158]"
"[68, 172]"
"[69, 186]"
[75]
"[76, 89]"
"[77, 103]"
"[78, 117]"
"[79, 131]"
"[80, 145]"
"[81, 159]"
"[82, 173]"
"[83, 187]"
[90]
"[91, 104]"
"[92, 118]"
"[93, 132]"
"[94, 146]"
"[95, 160]"
"[96, 174]"
"[97, 188]"
[105]
"[106, 119]"
"[107, 133]"
"[108, 147]"
"[109, 161]"
"[110, 175]"
"[111, 189]"
[120]
"[121, 134]"
"[122, 148]"
"[123, 162]"
"[124, 176]"
"[125, 190]"
[135]
"[136, 149]"
"[137, 163]"
"[138, 177]"
"[139, 191]"
[150]
"[151, 164]"
"[152, 178]"
"[153, 192]"
[165]
"[166, 179]"
"[167, 193]"
[180]
"[181, 194]"
[195]
[196]
"[197, 208]"
"[198, 220]"
"[199, 232]"
"[200, 244]"
"[201, 256]"
"[202, 268]"
"[203, 280]"
"[204, 292]"
"[205, 304]"
"[206, 316]"
"[207, 328]"
[209]
"[210, 221]"
"[211, 233]"
"[212, 245]"
"[213, 257]"
"[214, 269]"
"[215, 281]"
"[216, 293]"
"[217, 305]"
"[218, 317]"
"[219, 329]"
[222]
"[223, 234]"
"[224, 246]"
"[225, 258]"
"[226, 270]"
"[227, 282]"
"[228, 294]"
"[229, 306]"
"[230, 318]"
"[231, 330]"
[235]
"[236, 247]"
"[237, 259]"
"[238, 271]"
"[239, 283]"
"[240, 295]"
"[241, 307]"
"[242, 319]"
"[243, 331]"
[248]
"[249, 260]"
"[250, 272]"
"[251, 284]"
"[252, 296]"
"[253, 308]"
"[254, 320]"
"[255, 332]"
[261]
"[262, 273]"
"[263, 285]"
"[264, 297]"
"[265, 309]"
"[266, 321]"
"[267, 333]"
[274]
"[275, 286]"
"[276, 298]"
"[277, 310]"
"[278, 322]"
"[279, 334]"
[287]
"[288, 299]"
"[289, 311]"
"[290, 323]"
"[291, 335]"
[300]
"[301, 312]"
"[302, 324]"
"[303, 336]"
[313]
"[314, 325]"
"[315, 337]"
