equivalent variables
[0]
"[1, 13]"
"[2, 26]"
"[3, 39]"
"[4, 52]"
"[5, 65]"
"[6, 78]"
"[7, 91]"
"[8, 104]"
"[9, 117]"
"[10, 130]"
"[11, 143]"
"[12, 156]"
[14]
"[15, 27]"
"[16, 40]"
"[17, 53]"
"[18, 66]"
"[19, 79]"
"[20, 92]"
"[21, 105]"
"[22, 118]"
"[23, 131]"
"[24, 144]"
"[25, 157]"
[28]
"[29, 41]"
"[30, 54]"
"[31, 67]"
"[32, 80]"
"[33, 93]"
"[34, 106]"
"[35, 119]"
"[36, 132]"
"[37, 145]"
"[38, 158]"
[42]
"[43, 55]"
"[44, 68]"
"[45, 81]"
"[46, 94]"
"[47, 107]"
"[48, 120]"
"[49, 133]"
"[50, 146]"
"[51, 159]"
[56]
"[57, 69]"
"[58, 82]"
"[59, 95]"
"[60, 108]"
"[61, 121]"
"[62, 134]"
"[63, 147]"
"[64, 160]"
[70]
"[71, 83]"
"[72, 96]"
"[73, 109]"
"[74, 122]"
"[75, 135]"
"[76, 148]"
"[77, 161]"
[84]
"[85, 97]"
"[86, 110]"
"[87, 123]"
"[88, 136]"
"[89, 149]"
"[90, 162]"
[98]
"[99, 111]"
"[100, 124]"
"[101, 137]"
"[102, 150]"
"[103, 163]"
[112]
"[113, 125]"
"[114, 138]"
"[115, 151]"
"[116, 164]"
[126]
"[127, 139]"
"[128, 152]"
"[129, 165]"
[140]
"[141, 153]"
"[142, 166]"
[154]
"[155, 167]"
[168]
[169]
"[170, 180]"
"[171, 191]"
"[172, 202]"
"[173, 213]"
"[174, 224]"
"[175, 235]"
"[176, 246]"
"[177, 257]"
"[178, 268]"
"[179, 279]"
[181]
"[182, 192]"
"[183, 203]"
"[184, 214]"
"[185, 225]"
"[186, 236]"
"[187, 247]"
"[188, 258]"
"[189, 269]"
"[190, 280]"
[193]
"[194, 204]"
"[195, 215]"
"[196, 226]"
"[197, 237]"
"[198, 248]"
"[199, 259]"
"[200, 270]"
"[201, 281]"
[205]
"[206, 216]"
"[207, 227]"
"[208, 238]"
"[209, 249]"
"[210, 260]"
"[211, 271]"
"[212, 282]"
[217]
"[218, 228]"
"[219, 239]"
"[220, 250]"
"[221, 261]"
"[222, 272]"
"[223, 283]"
[229]
"[230, 240]"
"[231, 251]"
"[232, 262]"
"[233, 273]"
"[234, 284]"
[241]
"[242, 252]"
"[243, 263]"
"[244, 274]"
"[245, 285]"
[253]
"[254, 264]"
"[255, 275]"
"[256, 286]"
[265]
"[266, 276]"
"[267, 287]"
[277]
"[278, 288]"
[289]
"[290, 312]"
"[291, 313]"
"[292, 314]"
"[293, 315]"
"[294, 316]"
"[295, 317]"
"[296, 318]"
"[297, 319]"
"[298, 320]"
"[299, 321]"
"[300, 322]"
"[301, 323]"
"[302, 324]"
"[303, 325]"
"[304, 326]"
"[305, 327]"
"[306, 328]"
"[307, 329]"
"[308, 330]"
"[309, 331]"
"[310, 332]"
"[311, 333]"
[334]
"[335, 336]"
[337]
