equivalent variables
[779]
[780]
[781]
[782]
[784]
[770]
[789]
[771]
"[0, 22, 44, 66, 88, 110, 132, 154, 176, 198, 220, 242, 264, 286, 308, 330, 352, 374, 396, 418, 440, 462, 484, 506, 528, 550, 572, 594, 616, 638, 660, 682, 704, 726, 748]"
"[1, 23, 45, 67, 89, 111, 133, 155, 177, 199, 221, 243, 265, 287, 309, 331, 353, 375, 397, 419, 441, 463, 485, 507, 529, 551, 573, 595, 617, 639, 661, 683, 705, 727, 749]"
"[2, 24, 46, 68, 90, 112, 134, 156, 178, 200, 222, 244, 266, 288, 310, 332, 354, 376, 398, 420, 442, 464, 486, 508, 530, 552, 574, 596, 618, 640, 662, 684, 706, 728, 750]"
"[3, 25, 47, 69, 91, 113, 135, 157, 179, 201, 223, 245, 267, 289, 311, 333, 355, 377, 399, 421, 443, 465, 487, 509, 531, 553, 575, 597, 619, 641, 663, 685, 707, 729, 751]"
"[4, 26, 48, 70, 92, 114, 136, 158, 180, 202, 224, 246, 268, 290, 312, 334, 356, 378, 400, 422, 444, 466, 488, 510, 532, 554, 576, 598, 620, 642, 664, 686, 708, 730, 752]"
"[5, 27, 49, 71, 93, 115, 137, 159, 181, 203, 225, 247, 269, 291, 313, 335, 357, 379, 401, 423, 445, 467, 489, 511, 533, 555, 577, 599, 621, 643, 665, 687, 709, 731, 753]"
"[6, 28, 50, 72, 94, 116, 138, 160, 182, 204, 226, 248, 270, 292, 314, 336, 358, 380, 402, 424, 446, 468, 490, 512, 534, 556, 578, 600, 622, 644, 666, 688, 710, 732, 754]"
"[7, 29, 51, 73, 95, 117, 139, 161, 183, 205, 227, 249, 271, 293, 315, 337, 359, 381, 403, 425, 447, 469, 491, 513, 535, 557, 579, 601, 623, 645, 667, 689, 711, 733, 755]"
"[8, 30, 52, 74, 96, 118, 140, 162, 184, 206, 228, 250, 272, 294, 316, 338, 360, 382, 404, 426, 448, 470, 492, 514, 536, 558, 580, 602, 624, 646, 668, 690, 712, 734, 756]"
"[9, 31, 53, 75, 97, 119, 141, 163, 185, 207, 229, 251, 273, 295, 317, 339, 361, 383, 405, 427, 449, 471, 493, 515, 537, 559, 581, 603, 625, 647, 669, 691, 713, 735, 757]"
"[10, 32, 54, 76, 98, 120, 142, 164, 186, 208, 230, 252, 274, 296, 318, 340, 362, 384, 406, 428, 450, 472, 494, 516, 538, 560, 582, 604, 626, 648, 670, 692, 714, 736, 758]"
"[11, 33, 55, 77, 99, 121, 143, 165, 187, 209, 231, 253, 275, 297, 319, 341, 363, 385, 407, 429, 451, 473, 495, 517, 539, 561, 583, 605, 627, 649, 671, 693, 715, 737, 759]"
"[12, 34, 56, 78, 100, 122, 144, 166, 188, 210, 232, 254, 276, 298, 320, 342, 364, 386, 408, 430, 452, 474, 496, 518, 540, 562, 584, 606, 628, 650, 672, 694, 716, 738, 760]"
"[13, 35, 57, 79, 101, 123, 145, 167, 189, 211, 233, 255, 277, 299, 321, 343, 365, 387, 409, 431, 453, 475, 497, 519, 541, 563, 585, 607, 629, 651, 673, 695, 717, 739, 761]"
"[14, 36, 58, 80, 102, 124, 146, 168, 190, 212, 234, 256, 278, 300, 322, 344, 366, 388, 410, 432, 454, 476, 498, 520, 542, 564, 586, 608, 630, 652, 674, 696, 718, 740, 762]"
"[15, 37, 59, 81, 103, 125, 147, 169, 191, 213, 235, 257, 279, 301, 323, 345, 367, 389, 411, 433, 455, 477, 499, 521, 543, 565, 587, 609, 631, 653, 675, 697, 719, 741, 763]"
"[16, 38, 60, 82, 104, 126, 148, 170, 192, 214, 236, 258, 280, 302, 324, 346, 368, 390, 412, 434, 456, 478, 500, 522, 544, 566, 588, 610, 632, 654, 676, 698, 720, 742, 764]"
"[17, 39, 61, 83, 105, 127, 149, 171, 193, 215, 237, 259, 281, 303, 325, 347, 369, 391, 413, 435, 457, 479, 501, 523, 545, 567, 589, 611, 633, 655, 677, 699, 721, 743, 765]"
"[18, 40, 62, 84, 106, 128, 150, 172, 194, 216, 238, 260, 282, 304, 326, 348, 370, 392, 414, 436, 458, 480, 502, 524, 546, 568, 590, 612, 634, 656, 678, 700, 722, 744, 766]"
"[19, 41, 63, 85, 107, 129, 151, 173, 195, 217, 239, 261, 283, 305, 327, 349, 371, 393, 415, 437, 459, 481, 503, 525, 547, 569, 591, 613, 635, 657, 679, 701, 723, 745, 767]"
"[20, 42, 64, 86, 108, 130, 152, 174, 196, 218, 240, 262, 284, 306, 328, 350, 372, 394, 416, 438, 460, 482, 504, 526, 548, 570, 592, 614, 636, 658, 680, 702, 724, 746, 768]"
"[21, 43, 65, 87, 109, 131, 153, 175, 197, 219, 241, 263, 285, 307, 329, 351, 373, 395, 417, 439, 461, 483, 505, 527, 549, 571, 593, 615, 637, 659, 681, 703, 725, 747, 769]"
[772]
[773]
[783]
[774]
[785]
[786]
[787]
[788]
[775]
[790]
[791]
[776]
[777]
[778]
