equivalent variables
[256]
"[257, 270]"
"[258, 284]"
"[259, 298]"
"[260, 312]"
"[261, 326]"
"[262, 340]"
"[263, 354]"
"[264, 368]"
"[265, 382]"
"[266, 396]"
"[267, 410]"
"[268, 424]"
"[269, 438]"
[271]
"[272, 285]"
"[273, 299]"
"[274, 313]"
"[275, 327]"
"[276, 341]"
"[277, 355]"
"[278, 369]"
"[279, 383]"
"[280, 397]"
"[281, 411]"
"[282, 425]"
"[283, 439]"
[286]
"[287, 300]"
"[288, 314]"
"[289, 328]"
"[290, 342]"
"[291, 356]"
"[292, 370]"
"[293, 384]"
"[294, 398]"
"[295, 412]"
"[296, 426]"
"[297, 440]"
[301]
"[302, 315]"
"[303, 329]"
"[304, 343]"
"[305, 357]"
"[306, 371]"
"[307, 385]"
"[308, 399]"
"[309, 413]"
"[310, 427]"
"[311, 441]"
[316]
"[317, 330]"
"[318, 344]"
"[319, 358]"
"[320, 372]"
"[321, 386]"
"[322, 400]"
"[323, 414]"
"[324, 428]"
"[325, 442]"
[331]
"[332, 345]"
"[333, 359]"
"[334, 373]"
"[335, 387]"
"[336, 401]"
"[337, 415]"
"[338, 429]"
"[339, 443]"
[346]
"[347, 360]"
"[348, 374]"
"[349, 388]"
"[350, 402]"
"[351, 416]"
"[352, 430]"
"[353, 444]"
[361]
"[362, 375]"
"[363, 389]"
"[364, 403]"
"[365, 417]"
"[366, 431]"
"[367, 445]"
[376]
"[377, 390]"
"[378, 404]"
"[379, 418]"
"[380, 432]"
"[381, 446]"
[391]
"[392, 405]"
"[393, 419]"
"[394, 433]"
"[395, 447]"
[406]
"[407, 420]"
"[408, 434]"
"[409, 448]"
[421]
"[422, 435]"
"[423, 449]"
[436]
"[437, 450]"
[451]
"[452, 480]"
"[453, 481]"
"[454, 482]"
"[455, 483]"
"[456, 484]"
"[457, 485]"
"[458, 486]"
"[459, 487]"
"[460, 488]"
"[461, 489]"
"[462, 490]"
"[463, 491]"
"[464, 492]"
"[465, 493]"
"[466, 494]"
"[467, 495]"
"[468, 496]"
"[469, 497]"
"[470, 498]"
"[471, 499]"
"[472, 500]"
"[473, 501]"
"[474, 502]"
"[475, 503]"
"[476, 504]"
"[477, 505]"
"[478, 506]"
"[479, 507]"
[508]
"[509, 510]"
[511]
[0]
"[1, 16]"
"[2, 32]"
"[3, 48]"
"[4, 64]"
"[5, 80]"
"[6, 96]"
"[7, 112]"
"[8, 128]"
"[9, 144]"
"[10, 160]"
"[11, 176]"
"[12, 192]"
"[13, 208]"
"[14, 224]"
"[15, 240]"
[17]
"[18, 33]"
"[19, 49]"
"[20, 65]"
"[21, 81]"
"[22, 97]"
"[23, 113]"
"[24, 129]"
"[25, 145]"
"[26, 161]"
"[27, 177]"
"[28, 193]"
"[29, 209]"
"[30, 225]"
"[31, 241]"
[34]
"[35, 50]"
"[36, 66]"
"[37, 82]"
"[38, 98]"
"[39, 114]"
"[40, 130]"
"[41, 146]"
"[42, 162]"
"[43, 178]"
"[44, 194]"
"[45, 210]"
"[46, 226]"
"[47, 242]"
[51]
"[52, 67]"
"[53, 83]"
"[54, 99]"
"[55, 115]"
"[56, 131]"
"[57, 147]"
"[58, 163]"
"[59, 179]"
"[60, 195]"
"[61, 211]"
"[62, 227]"
"[63, 243]"
[68]
"[69, 84]"
"[70, 100]"
"[71, 116]"
"[72, 132]"
"[73, 148]"
"[74, 164]"
"[75, 180]"
"[76, 196]"
"[77, 212]"
"[78, 228]"
"[79, 244]"
[85]
"[86, 101]"
"[87, 117]"
"[88, 133]"
"[89, 149]"
"[90, 165]"
"[91, 181]"
"[92, 197]"
"[93, 213]"
"[94, 229]"
"[95, 245]"
[102]
"[103, 118]"
"[104, 134]"
"[105, 150]"
"[106, 166]"
"[107, 182]"
"[108, 198]"
"[109, 214]"
"[110, 230]"
"[111, 246]"
[119]
"[120, 135]"
"[121, 151]"
"[122, 167]"
"[123, 183]"
"[124, 199]"
"[125, 215]"
"[126, 231]"
"[127, 247]"
[136]
"[137, 152]"
"[138, 168]"
"[139, 184]"
"[140, 200]"
"[141, 216]"
"[142, 232]"
"[143, 248]"
[153]
"[154, 169]"
"[155, 185]"
"[156, 201]"
"[157, 217]"
"[158, 233]"
"[159, 249]"
[170]
"[171, 186]"
"[172, 202]"
"[173, 218]"
"[174, 234]"
"[175, 250]"
[187]
"[188, 203]"
"[189, 219]"
"[190, 235]"
"[191, 251]"
[204]
"[205, 220]"
"[206, 236]"
"[207, 252]"
[221]
"[222, 237]"
"[223, 253]"
[238]
"[239, 254]"
[255]
