equivalent variables
"[36, 46, 94, 113, 205, 236, 277, 283, 394, 397, 443]"
"[37, 40, 81, 93, 97, 103, 151, 183, 203, 204, 211, 221, 278, 280, 303, 309, 338, 362, 395, 396, 407, 422]"
"[61, 68, 114, 144, 158, 238, 291, 296, 319, 401, 446]"
"[62, 66, 78, 104, 143, 147, 155, 165, 178, 184, 207, 223, 292, 295, 302, 315, 334, 345, 354, 364, 402, 425]"
"[63, 84, 142, 149, 188, 219, 293, 305, 333, 369, 420]"
"[65, 95, 98, 153, 208, 213, 294, 310, 312, 403, 410]"
"[72, 73, 82, 102, 145, 148, 154, 167, 169, 185, 209, 220, 298, 299, 304, 314, 335, 337, 340, 365, 405, 421]"
"[75, 96, 152, 168, 173, 210, 300, 311, 339, 347, 406]"
"[76, 146, 166, 172, 174, 175, 301, 336, 346, 349, 350]"
"[0, 5, 20, 55, 125, 251, 252, 378, 434, 455, 461]"
"[1, 4, 10, 19, 35, 54, 90, 124, 126, 195, 246, 250, 253, 256, 322, 377, 379, 413, 435, 449, 456, 460]"
"[2, 3, 14, 17, 45, 51, 110, 120, 196, 230, 231, 245, 254, 255, 357, 372, 380, 381, 428, 433, 436, 454]"
"[6, 18, 25, 53, 56, 70, 121, 123, 130, 160, 247, 249, 257, 266, 287, 321, 382, 398, 437, 444, 457, 459]"
"[7, 16, 29, 50, 80, 119, 129, 161, 180, 191, 232, 244, 258, 265, 325, 342, 356, 373, 383, 423, 438, 453]"
"[8, 13, 32, 44, 86, 109, 128, 190, 197, 216, 226, 229, 259, 263, 324, 358, 367, 371, 384, 415, 429, 432]"
"[9, 34, 89, 127, 194, 241, 260, 323, 376, 414, 450]"
"[11, 15, 39, 48, 91, 100, 111, 116, 199, 215, 233, 240, 261, 264, 307, 317, 385, 387, 408, 412, 439, 448]"
"[12, 42, 106, 181, 198, 225, 262, 352, 359, 386, 427]"
"[21, 52, 60, 122, 140, 248, 267, 286, 388, 440, 458]"
"[22, 49, 59, 64, 87, 118, 139, 141, 150, 192, 234, 243, 268, 285, 290, 306, 332, 374, 389, 419, 441, 452]"
"[23, 43, 58, 67, 107, 108, 137, 156, 200, 206, 227, 228, 269, 282, 289, 316, 360, 363, 390, 400, 430, 431]"
"[24, 33, 57, 69, 88, 117, 131, 134, 159, 193, 237, 242, 270, 276, 288, 320, 326, 375, 399, 416, 445, 451]"
"[26, 47, 71, 74, 112, 115, 138, 157, 164, 170, 235, 239, 271, 284, 297, 318, 331, 341, 391, 404, 442, 447]"
"[27, 41, 77, 105, 136, 163, 171, 176, 177, 182, 201, 224, 272, 281, 330, 344, 348, 351, 353, 361, 392, 426]"
"[28, 31, 79, 85, 132, 133, 162, 179, 187, 189, 217, 222, 273, 275, 327, 328, 343, 355, 368, 370, 417, 424]"
"[30, 38, 83, 92, 99, 101, 135, 186, 202, 212, 214, 218, 274, 279, 308, 313, 329, 366, 393, 409, 411, 418]"
