equivalent variables
"[80, 90, 270, 280]"
"[81, 89, 99, 109, 251, 261, 271, 279]"
"[82, 88, 118, 128, 232, 242, 272, 278]"
"[83, 87, 137, 147, 213, 223, 273, 277]"
"[84, 86, 156, 166, 194, 204, 274, 276]"
"[85, 175, 185, 275]"
"[100, 108, 252, 260]"
"[101, 107, 119, 127, 233, 241, 253, 259]"
"[102, 106, 138, 146, 214, 222, 254, 258]"
"[103, 105, 157, 165, 195, 203, 255, 257]"
"[104, 176, 184, 256]"
"[361, 362, 401, 402]"
"[363, 364, 399, 400, 403, 404, 439, 440]"
"[365, 366, 397, 398, 405, 406, 437, 438]"
"[367, 368, 395, 396, 407, 408, 435, 436]"
"[369, 370, 393, 394, 409, 410, 433, 434]"
"[371, 372, 391, 392, 411, 412, 431, 432]"
"[373, 374, 389, 390, 413, 414, 429, 430]"
"[375, 376, 387, 388, 415, 416, 427, 428]"
"[120, 126, 234, 240]"
"[121, 125, 139, 145, 215, 221, 235, 239]"
"[122, 124, 158, 164, 196, 202, 236, 238]"
"[123, 177, 183, 237]"
"[377, 378, 385, 386, 417, 418, 425, 426]"
"[379, 380, 383, 384, 419, 420, 423, 424]"
"[381, 382, 421, 422]"
"[0, 36, 342, 360]"
"[1, 2, 34, 37, 323, 341, 343, 359]"
"[3, 35, 324, 340]"
"[4, 32, 38, 56, 304, 322, 344, 358]"
"[5, 33, 39, 55, 305, 321, 325, 339]"
"[6, 30, 57, 75, 285, 303, 345, 357]"
"[7, 31, 58, 74, 286, 302, 326, 338]"
"[8, 28, 76, 94, 266, 284, 346, 356]"
"[9, 29, 77, 93, 267, 283, 327, 337]"
"[10, 26, 95, 113, 247, 265, 347, 355]"
"[11, 27, 96, 112, 248, 264, 328, 336]"
"[12, 24, 114, 132, 228, 246, 348, 354]"
"[13, 25, 115, 131, 229, 245, 329, 335]"
"[14, 22, 133, 151, 209, 227, 349, 353]"
"[15, 23, 134, 150, 210, 226, 330, 334]"
"[16, 20, 152, 170, 190, 208, 350, 352]"
"[17, 21, 153, 169, 191, 207, 331, 333]"
"[18, 171, 189, 351]"
"[19, 172, 188, 332]"
"[140, 144, 216, 220]"
"[141, 143, 159, 163, 197, 201, 217, 219]"
"[142, 178, 182, 218]"
"[160, 162, 198, 200]"
"[161, 179, 181, 199]"
"[40, 54, 306, 320]"
"[41, 53, 59, 73, 287, 301, 307, 319]"
"[42, 52, 78, 92, 268, 282, 308, 318]"
"[43, 51, 97, 111, 249, 263, 309, 317]"
"[44, 50, 116, 130, 230, 244, 310, 316]"
"[45, 49, 135, 149, 211, 225, 311, 315]"
"[46, 48, 154, 168, 192, 206, 312, 314]"
"[47, 173, 187, 313]"
[180]
"[60, 72, 288, 300]"
"[61, 71, 79, 91, 269, 281, 289, 299]"
"[62, 70, 98, 110, 250, 262, 290, 298]"
"[63, 69, 117, 129, 231, 243, 291, 297]"
"[64, 68, 136, 148, 212, 224, 292, 296]"
"[65, 67, 155, 167, 193, 205, 293, 295]"
"[66, 174, 186, 294]"
